,,,,,0,1,2,3,4
1:10,2,0 - 20,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.714, 0.0)"
1:10,2,70 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.708, 0.0)"
1:10,3,0 - 100,min-max,36500,"(0.222, 0.148)","(0.044, 0.006)","(0.074, 0.016)","(0.039, 0.005)","(3.14, 0.003)"
1:10,3,20 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.491, 0.017)"
1:10,3,20 - 60,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.609, 0.086)"
1:10,3,60 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.926, 0.007)"
1:10,3,0 - 20,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.721, 0.0)"
1:10,3,70 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.708, 0.0)"
1:0,2,0 - 100,power,36500,"(0.195, 0.007)","(0.131, 0.003)","(0.156, 0.005)","(0.083, 0.0)","(104872.042, 9619402390.769)"
1:0,2,20 - 70,power,36500,"(0.194, 0.016)","(0.113, 0.001)","(0.139, 0.003)","(0.085, 0.0)","(71059.652, 10037305543.391)"
1:0,2,20 - 60,power,36500,"(0.117, 0.016)","(0.048, 0.002)","(0.065, 0.003)","(0.065, 0.003)","(79426.228, 1155683535.162)"
1:0,2,60 - 70,power,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(224.963, 440.663)"
1:0,2,0 - 20,power,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(393744001.76, 2.6601651788710074e+17)"
1:0,2,70 - 100,power,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(53234050.579, 865783394549597.5)"
1:0,3,0 - 100,power,36500,"(0.27, 0.042)","(0.14, 0.005)","(0.182, 0.012)","(0.157, 0.015)","(349198.578, 52966883407.198)"
1:0,3,20 - 70,power,36500,"(0.113, 0.019)","(0.106, 0.017)","(0.109, 0.018)","(0.046, 0.006)","(6959.288, 6897.936)"
1:0,3,20 - 60,power,36500,"(0.145, 0.002)","(0.143, 0.005)","(0.142, 0.004)","(0.142, 0.004)","(531399.109, 21595283579.345)"
1:0,3,60 - 70,power,36500,"(0.104, 0.01)","(0.092, 0.006)","(0.096, 0.007)","(0.076, 0.007)","(245.182, 6943.12)"
1:0,3,0 - 20,power,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(476109404.397, 3.080749031718535e+17)"
1:0,3,70 - 100,power,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(72971622.797, 1539663080125553.5)"
1:0.1,2,0 - 100,power,36500,"(0.219, 0.01)","(0.157, 0.01)","(0.182, 0.011)","(0.135, 0.007)","(6.42, 1.004)"
1:0.1,2,20 - 70,power,36500,"(0.131, 0.016)","(0.048, 0.002)","(0.069, 0.004)","(0.069, 0.004)","(4.401, 0.346)"
1:0.1,2,20 - 60,power,36500,"(0.141, 0.0)","(0.092, 0.001)","(0.11, 0.001)","(0.087, 0.0)","(1.92, 0.47)"
1:0.1,2,60 - 70,power,36500,"(0.15, 0.003)","(0.184, 0.01)","(0.163, 0.006)","(0.146, 0.003)","(0.782, 0.0)"
1:0.1,2,0 - 20,power,36500,"(0.311, 0.04)","(0.199, 0.031)","(0.224, 0.036)","(0.167, 0.039)","(0.719, 0.0)"
1:0.1,2,70 - 100,power,36500,"(0.115, 0.039)","(0.204, 0.124)","(0.147, 0.065)","(0.101, 0.031)","(0.71, 0.0)"
1:0.1,3,0 - 100,power,36500,"(0.306, 0.02)","(0.135, 0.004)","(0.185, 0.007)","(0.127, 0.002)","(7.783, 0.048)"
1:0.1,3,20 - 70,power,36500,"(0.219, 0.088)","(0.128, 0.027)","(0.161, 0.045)","(0.115, 0.018)","(4.372, 2.191)"
1:0.1,3,20 - 60,power,36500,"(0.303, 0.008)","(0.167, 0.007)","(0.213, 0.009)","(0.213, 0.009)","(2.852, 1.111)"
1:0.1,3,60 - 70,power,36500,"(0.242, 0.01)","(0.211, 0.023)","(0.218, 0.015)","(0.137, 0.007)","(0.795, 0.0)"
1:0.1,3,0 - 20,power,36500,"(0.097, 0.01)","(0.111, 0.019)","(0.102, 0.014)","(0.059, 0.01)","(0.718, 0.0)"
1:0.1,3,70 - 100,power,36500,"(0.325, 0.027)","(0.251, 0.008)","(0.266, 0.005)","(0.169, 0.001)","(0.712, 0.0)"
1:1,2,0 - 100,power,36500,"(0.153, 0.028)","(0.086, 0.009)","(0.11, 0.015)","(0.059, 0.003)","(2.92, 0.274)"
1:1,2,20 - 70,power,36500,"(0.093, 0.007)","(0.048, 0.002)","(0.062, 0.003)","(0.062, 0.003)","(1.768, 0.093)"
1:1,2,20 - 60,power,36500,"(0.074, 0.016)","(0.044, 0.006)","(0.056, 0.009)","(0.029, 0.003)","(1.118, 0.002)"
1:1,2,60 - 70,power,36500,"(0.091, 0.008)","(0.113, 0.019)","(0.099, 0.012)","(0.082, 0.007)","(0.743, 0.0)"
1:1,2,0 - 20,power,36500,"(0.187, 0.015)","(0.137, 0.013)","(0.144, 0.012)","(0.125, 0.006)","(0.714, 0.0)"
1:1,2,70 - 100,power,36500,"(0.231, 0.064)","(0.149, 0.025)","(0.15, 0.017)","(0.087, 0.006)","(0.719, 0.0)"
1:1,3,0 - 100,power,36500,"(0.194, 0.03)","(0.09, 0.01)","(0.12, 0.016)","(0.095, 0.008)","(2.594, 0.012)"
1:1,3,20 - 70,power,36500,"(0.264, 0.145)","(0.161, 0.048)","(0.2, 0.078)","(0.138, 0.03)","(1.882, 0.338)"
1:1,3,20 - 60,power,36500,"(0.148, 0.029)","(0.095, 0.012)","(0.116, 0.018)","(0.116, 0.018)","(1.59, 0.005)"
1:1,3,60 - 70,power,36500,"(0.173, 0.026)","(0.161, 0.048)","(0.155, 0.034)","(0.109, 0.012)","(0.754, 0.002)"
1:1,3,0 - 20,power,36500,"(0.11, 0.011)","(0.17, 0.055)","(0.124, 0.02)","(0.1, 0.011)","(0.714, 0.0)"
1:1,3,70 - 100,power,36500,"(0.239, 0.01)","(0.206, 0.006)","(0.211, 0.006)","(0.166, 0.013)","(0.719, 0.0)"
1:10,2,0 - 100,power,36500,"(0.091, 0.025)","(0.062, 0.012)","(0.074, 0.016)","(0.027, 0.002)","(2.674, 0.189)"
1:10,2,20 - 70,power,36500,"(0.095, 0.007)","(0.044, 0.001)","(0.061, 0.003)","(0.0, 0.0)","(1.832, 0.01)"
1:10,2,20 - 60,power,36500,"(0.122, 0.013)","(0.065, 0.004)","(0.085, 0.006)","(0.032, 0.003)","(1.208, 0.003)"
1:10,2,60 - 70,power,36500,"(0.182, 0.014)","(0.224, 0.027)","(0.195, 0.016)","(0.158, 0.011)","(0.769, 0.002)"
1:10,2,0 - 20,power,36500,"(0.196, 0.001)","(0.218, 0.018)","(0.195, 0.007)","(0.143, 0.003)","(0.716, 0.0)"
1:10,2,70 - 100,power,36500,"(0.181, 0.025)","(0.128, 0.027)","(0.138, 0.024)","(0.102, 0.009)","(0.712, 0.0)"
1:10,3,0 - 100,power,36500,"(0.273, 0.02)","(0.114, 0.006)","(0.155, 0.009)","(0.129, 0.002)","(2.563, 0.022)"
1:10,3,20 - 70,power,36500,"(0.278, 0.065)","(0.152, 0.024)","(0.195, 0.037)","(0.15, 0.018)","(1.872, 0.404)"
1:10,3,20 - 60,power,36500,"(0.194, 0.002)","(0.119, 0.002)","(0.145, 0.002)","(0.145, 0.002)","(1.361, 0.0)"
1:10,3,60 - 70,power,36500,"(0.173, 0.036)","(0.14, 0.035)","(0.152, 0.036)","(0.067, 0.013)","(0.764, 0.003)"
1:10,3,0 - 20,power,36500,"(0.181, 0.035)","(0.229, 0.056)","(0.202, 0.044)","(0.133, 0.013)","(0.721, 0.0)"
