Rs,Rj,Ra,Sj,Sa,Sb,Cj,Ca,Cb,Fc
2.2506393847580273,-0.7296951526694421,-0.29060099468344264,-0.4829895433584237,-0.8118126776499398,-0.6956299782572546,0.5300312172313367,-0.22958573838935237,4.365169636843213,-1.2246085719014954
2.250639385034636,-0.7296951507330727,-0.2906009820235692,-0.4829895427182021,-0.8118126776593396,-0.6956299781352132,0.5300311689255578,-0.229585956594484,4.365165733495521,-1.22439885279041
2.250639385093909,-0.7296951384693986,-0.2906008680847081,-0.4829895365960834,-0.8118126774290392,-0.6956299767611172,0.5300310235881698,-0.2295866114193892,4.36515402853861,-1.2241891336997368
2.250639384389216,-0.7296951061965716,-0.29060058956752016,-0.48298951955018365,-0.8118126767169874,-0.695629972869352,0.530030780229055,-0.22958770286406813,4.36513452875403,-1.2239794145886513
2.250639382044631,-0.7296950481054836,-0.2906000451930037,-0.4829894858185082,-0.8118126752646839,-0.6956299652078634,0.5300304379481054,-0.2295892307190102,4.3651072397930735,-1.2237696954979786
2.2506393768812747,-0.7296949570961119,-0.29059919698155234,-0.4829894297991198,-0.8118126728230282,-0.6956299525200763,0.5300299957552029,-0.22959119498421535,4.365072169002421,-1.223559976386893
2.250639367450246,-0.7296948292957175,-0.29059795631406604,-0.4829893455699676,-0.8118126691217692,-0.6956299335358564,0.5300294527802427,-0.22959359534541807,4.365029322033364,-1.2233502572758075
2.2506393520457935,-0.7296946601861051,-0.2905962725510228,-0.48298922728902977,-0.8118126638953567,-0.6956299069986291,0.5300288080931141,-0.22959643169786323,4.364978706232583,-1.2231405381851344
2.2506393287250726,-0.7296944465399914,-0.29059409505297096,-0.4829890689942424,-0.8118126568688396,-0.6956298716427793,0.5300280608537166,-0.22959970362252963,4.364920327251372,-1.2229308190740489
2.25063929533449,-0.729694185775551,-0.2905913858402761,-0.48298886464351515,-0.8118126477602178,-0.6956298261981727,0.5300272101619421,-0.2296034110146622,4.364854192436409,-1.2227210999833762
2.250639249522873,-0.729693874020044,-0.2905881069333319,-0.4829886080747148,-0.8118126362851401,-0.695629769399195,0.5300262551476873,-0.22960755335048486,4.364780308004118,-1.2225113808722905
2.2506391887480603,-0.7296935099825576,-0.2905841950327571,-0.48298829316572184,-0.8118126221522062,-0.6956296999802305,0.5300251950308575,-0.22961213052524237,4.364698681301177,-1.222301661761205
2.250639110316413,-0.729693090435809,-0.2905796501385516,-0.48298791363436294,-0.8118126050629652,-0.6956296166666252,0.5300240289413498,-0.22961714201515862,4.364609317978879,-1.2220919426705321
2.250639011356472,-0.7296926140888852,-0.2905744089513762,-0.48298746315845004,-0.811812584714266,-0.6956295181837243,0.5300227560990708,-0.22962258750596787,4.3645122248187755,-1.2218822235594464
2.250638888871647,-0.7296920783599599,-0.290568471471217,-0.48298693541579385,-0.8118125608006085,-0.6956294032613929,0.5300213757239264,-0.22962846647389396,4.364407409167547,-1.2216725044687735
2.2506387397270426,-0.7296914813126638,-0.29056178705859403,-0.48298632396416624,-0.8118125330023915,-0.6956292706204561,0.5300198870358239,-0.2296347784999162,4.364294877241614,-1.221462785357688
2.2506385606626313,-0.7296908210106274,-0.2905543557134794,-0.48298562232132164,-0.8118125010070646,-0.6956291189817392,0.5300182892846734,-0.22964152306025817,4.3641746363876575,-1.2212530662466026
2.250638348293255,-0.7296900968083936,-0.29054613945629465,-0.4829848238849766,-0.8118124644856267,-0.6956289470660675,0.5300165817503887,-0.22964869973589935,4.3640466928220984,-1.2210433471559297
2.250638099141549,-0.7296893054786803,-0.29053712562713846,-0.4829839220928593,-0.8118124231067271,-0.6956287535942661,0.530014763652877,-0.22965630789830804,4.363911053891618,-1.220833628044844
2.2506378096247777,-0.7296884457305737,-0.29052730156615125,-0.48298291030267093,-0.811812376536665,-0.6956285372735997,0.5300128343620618,-0.2296643469189531,4.363767725812638,-1.220623908954171
2.250637476061415,-0.7296875156277051,-0.2905166546134456,-0.4829817817520704,-0.8118123244346895,-0.6956282968294139,0.5300107931278544,-0.22967281616930305,4.363616715931837,-1.2204141898430856
