Rs,Rj,Ra,Sj,Sa,Sb,Cj,Ca,Cb,Fc
54.8224136606,0.2682047559,0.9892862383,8.5109583784,9.9550982207,50.0333150855,8.1868442049,0.8092864609,0.8423410492,0.0
54.8224437027,0.2682047069,0.9892862173,8.5109519717,9.9550915898,50.0332993736,8.1868427646,0.809287673,0.8423422502,0.0
54.8224738347,0.2682046583,0.9892861965,8.510945568,9.9550849077,50.0332835985,8.1868413087,0.8092888729,0.842343451,0.0
54.8225040556,0.26820461,0.9892861757,8.5109391678,9.955078175,50.03326776,8.1868398372,0.8092900608,0.8423446516,0.0
54.8225343641,0.2682045621,0.989286155,8.5109327714,9.9550713924,50.0332518581,8.1868383501,0.8092912367,0.842345852,0.0
54.8225647592,0.2682045146,0.9892861344,8.5109263791,9.9550645606,50.0332358927,8.1868368474,0.8092924005,0.8423470521,0.0
54.8225952396,0.2682044675,0.989286114,8.5109199913,9.9550576803,50.0332198635,8.1868353291,0.8092935524,0.842348252,0.0
54.8226258044,0.2682044208,0.9892860936,8.5109136083,9.9550507521,50.0332037705,8.1868337953,0.8092946922,0.8423494516,0.0
54.8226564523,0.2682043744,0.9892860733,8.5109072306,9.9550437768,50.0331876136,8.1868322459,0.80929582,0.842350651,0.0
54.8226871821,0.2682043285,0.9892860531,8.5109008583,9.9550367549,50.0331713927,8.1868306811,0.8092969359,0.84235185,0.0
54.8227179927,0.268204283,0.989286033,8.510894492,9.9550296872,50.0331551076,8.1868291007,0.8092980398,0.8423530488,0.0
54.822748883,0.2682042378,0.9892860131,8.5108881319,9.9550225744,50.0331387582,8.1868275049,0.8092991318,0.8423542472,0.0
54.8227798518,0.2682041931,0.9892859932,8.5108817784,9.9550154172,50.0331223446,8.1868258936,0.8093002119,0.8423554453,0.0
54.8228108979,0.2682041488,0.9892859734,8.5108754318,9.9550082162,50.0331058665,8.1868242668,0.80930128,0.8423566431,0.0
54.8228420201,0.2682041049,0.9892859538,8.5108690925,9.9550009721,50.0330893239,8.1868226247,0.8093023364,0.8423578405,0.0
54.8228732173,0.2682040614,0.9892859343,8.5108627607,9.9549936856,50.0330727167,8.1868209671,0.8093033808,0.8423590376,0.0
54.8229044882,0.2682040183,0.9892859148,8.510856437,9.9549863574,50.0330560448,8.1868192942,0.8093044135,0.8423602343,0.0
54.8229358318,0.2682039757,0.9892858955,8.5108501215,9.9549789883,50.0330393083,8.186817606,0.8093054343,0.8423614306,0.0
54.8229672467,0.2682039335,0.9892858763,8.5108438146,9.9549715788,50.0330225069,8.1868159025,0.8093064434,0.8423626264,0.0
54.8229987319,0.2682038917,0.9892858572,8.5108375167,9.9549641296,50.0330056407,8.1868141837,0.8093074407,0.8423638219,0.0
54.8230302861,0.2682038504,0.9892858382,8.510831228,9.9549566416,50.0329887096,8.1868124496,0.8093084263,0.842365017,0.0
54.8230619082,0.2682038095,0.9892858194,8.510824949,9.9549491153,50.0329717136,8.1868107003,0.8093094002,0.8423662116,0.0
54.8230935968,0.2682037691,0.9892858006,8.51081868,9.9549415515,50.0329546526,8.1868089358,0.8093103623,0.8423674058,0.0
54.8231253509,0.2682037291,0.989285782,8.5108124212,9.9549339508,50.0329375266,8.1868071562,0.8093113129,0.8423685995,0.0
54.8231571692,0.2682036895,0.9892857634,8.5108061731,9.954926314,50.0329203355,8.1868053615,0.8093122518,0.8423697927,0.0
54.8231890505,0.2682036504,0.989285745,8.5107999359,9.9549186417,50.0329030793,8.1868035516,0.809313179,0.8423709854,0.0
54.8232209937,0.2682036118,0.9892857267,8.5107937099,9.9549109346,50.032885758,8.1868017267,0.8093140948,0.8423721777,0.0
54.8232529974,0.2682035737,0.9892857085,8.5107874956,9.9549031936,50.0328683717,8.1867998868,0.8093149989,0.8423733694,0.0
54.8232850606,0.268203536,0.9892856905,8.5107812932,9.9548954191,50.0328509201,8.186798032,0.8093158916,0.8423745606,0.0
54.8233171819,0.2682034987,0.9892856725,8.510775103,9.954887612,50.0328334035,8.1867961621,0.8093167727,0.8423757513,0.0
54.8233493602,0.268203462,0.9892856547,8.5107689254,9.9548797729,50.0328158217,8.1867942774,0.8093176424,0.8423769414,0.0
54.8233815942,0.2682034257,0.989285637,8.5107627606,9.9548719026,50.0327981748,8.1867923778,0.8093185007,0.842378131,0.0
54.8234138827,0.2682033899,0.9892856194,8.5107566091,9.9548640017,50.0327804627,8.1867904634,0.8093193476,0.84237932,0.0
54.8234462246,0.2682033546,0.9892856019,8.510750471,9.954856071,50.0327626855,8.1867885342,0.8093201831,0.8423805084,0.0
