Rs,Rj,Ra,Sj,Sa,Sb,Cj,Ca,Cb,Fc
0.9999999998944628,0.03337561036352632,0.6460784214907846,0.24297851144941096,2.8521594742952905e-05,0.0,0.8491409957685199,0.20277075369298084,1.0,0.0
0.9999999999813757,0.03337561150146251,0.6460784247922575,0.24297851171139828,2.8521589580027262e-05,6.783751338446109e-11,0.8491409740195786,0.20277070150879717,0.9999991811818473,6.849784496673164e-05
0.9999999999999999,0.03337561870839312,0.6460784545055205,0.24297851421665295,2.8521716072010816e-05,8.316387578588547e-10,0.8491409085836332,0.20277054490614133,0.99999672579433,0.00013699568326633996
0.9999999997785788,0.03337563767399976,0.6460785271379521,0.24297852119206698,2.852210716450254e-05,2.9949049906718983e-09,0.849140799014898,0.2027702838850133,0.9999926352600369,0.0002054935282330716
0.999999999041889,0.033375671812091445,0.6460786691013354,0.2429785349955269,2.852290483837394e-05,7.2535999429135245e-09,0.8491406449081131,0.20276991849551798,0.999986910764458,0.0002739913665326799
0.9999999974195154,0.03337572529510191,0.646078890300096,0.24297855791942302,2.8524245911459856e-05,1.4306199558333788e-08,0.8491404458174934,0.2027694487376553,0.9999795538487307,0.0003424892114994116
0.9999999944562007,0.0333758003989042,0.6460792138445512,0.24297859238713815,2.852627881816394e-05,2.485871797297534e-08,0.8491402013512868,0.2027688746865825,0.9999705656983456,0.0004109870564661432
0.9999999896159818,0.033375899778682605,0.6460796529405997,0.2429786407893071,2.8529149411538057e-05,3.9609630908543636e-08,0.8491399110907256,0.20276819636735205,0.9999599478544398,0.0004794848947657515
0.9999999822883995,0.03337602533099826,0.6460802207941327,0.24297870556568757,2.853300870744868e-05,5.92624400663766e-08,0.849139574657567,0.20276741388017366,0.9999477015025039,0.0005479827397324832
0.9999999717967752,0.03337617857309949,0.6460809273095762,0.24297878918878535,2.8538011594081425e-05,8.452315891638307e-08,0.8491391916465516,0.20276652725009958,0.9999338281836748,0.0006164805780320916
0.9999999574023491,0.0333763617808589,0.6460817823913487,0.2429788941802291,2.8544314250256164e-05,1.1609528871581176e-07,0.8491387616659274,0.20276553660239208,0.9999183292019922,0.0006849784229988232
0.9999999383063515,0.0333765757129012,0.6460828025468217,0.2429790230452733,2.8552076727084152e-05,1.546823304998668e-07,0.8491382843644704,0.20276444196210344,0.9999012060985938,0.0007534762679655548
0.9999999136624155,0.03337682226578709,0.6460839877760023,0.24297917835466887,2.8561462947801486e-05,2.0099281061725094e-07,0.8491377593504286,0.20276324345449578,0.9998824600589691,0.0008219741062651632
0.9999998825683033,0.03337710219814016,0.6460853545862548,0.2429793626955412,2.8572639417162593e-05,2.557352556387116e-07,0.8491371862725774,0.2027619411547264,0.9998620925057069,0.0008904719512318947
0.9999998440824592,0.03337741702720942,0.6460869029775722,0.24297957865501574,2.8585773930639435e-05,3.1961567881211295e-07,0.8491365647796913,0.20276053518805734,0.9998401049799448,0.000958969789531503
0.9999997972198703,0.033377767890931276,0.6460886461558601,0.242979828869341,2.860104202814795e-05,3.9334511914290715e-07,0.8491358945205454,0.20275902565469825,0.9998164987857219,0.0010274676344982346
0.9999997409562064,0.03337815592724214,0.6460905841211186,0.24298011599113867,2.8618615377312695e-05,4.776346154145017e-07,0.8491351751574234,0.2027574126799113,0.9997912754641755,0.0010959654794649664
0.9999996742278198,0.0333785815154537,0.6460927267777592,0.2429804427221538,2.8638674680947496e-05,5.731952059662149e-07,0.8491344063661168,0.20275569636390603,0.9997644363193452,0.0011644633177645748
0.9999995959420919,0.03337904655212731,0.646095077427276,0.242980811747757,2.866140193269473e-05,6.807379300255434e-07,0.8491335877954012,0.202753876856997,0.9997359828923681,0.0012329611627313064
0.9999995049732932,0.033379551795886586,0.6460976393711206,0.2429812257860673,2.8686980416747776e-05,8.009813634579643e-07,0.849132719161594,0.20275195430949874,0.9997059164872837,0.0013014590010309148
0.999999400164656,0.03338009838466838,0.6461004159107873,0.24298168760432692,2.8715597289619144e-05,9.346340326121805e-07,0.8491318001269794,0.20274992887172572,0.9996742386452295,0.0013699568459976464
0.9999992803345782,0.0333806866977846,0.6461034169506803,0.24298219993702874,2.874744487077474e-05,1.0824195386671676e-06,0.8491308304078753,0.20274780069399242,0.9996409506702446,0.001438454690964378
0.9999991442704191,0.033381318631796164,0.6461066358878611,0.24298276561691123,2.8782714188879677e-05,1.2450489208504223e-06,0.8491298097070914,0.20274556992661333,0.9996060542220156,0.0015069525292639864
0.9999989907429826,0.03338199456601476,0.6461100826267483,0.24298338742759085,2.8821605307760567e-05,1.4232432670180373e-06,0.8491287377274366,0.20274323677000788,0.9995695507231307,0.001575450374230718
0.9999988184941008,0.0333827156383768,0.6461137604688219,0.24298406821817986,2.8864314419063675e-05,1.617723666802462e-06,0.849127614212247,0.20274080137449044,0.9995314414776293,0.0016439482125303263
0.9999986262428439,0.03338348298681937,0.6461176661126018,0.24298481083779144,2.891104674959677e-05,1.8292086958471288e-06,0.8491264388643318,0.20273826394048045,0.9994917281451982,0.0017124460574970577
0.9999984126917271,0.033384297369966065,0.6461218061610339,0.24298561813553832,2.896200623531131e-05,2.0584219559971473e-06,0.8491252114405352,0.20273562466839715,0.9994504121484251,0.0017809439024637894
0.999998176522572,0.033385160305065664,0.6461261839156052,0.24298649304240394,2.901740197527869e-05,2.306089560200064e-06,0.849123931670684,0.2027328837336075,0.9994074947913497,0.0018494417407633977
0.9999979163944376,0.0333860721714303,0.6461307960748286,0.24298743844024995,2.907744564989434e-05,2.5729325976442396e-06,0.8491225993251312,0.2027300413866357,0.9993629778522074,0.0019179395857301293
0.9999976309560349,0.033387034106996394,0.646135645940177,0.24298845727643403,2.914235152107203e-05,2.8596771823874434e-06,0.8491212141472118,0.20272709782790102,0.9993168627535868,0.0019864374240297377
0.9999973188333134,0.033388047249700126,0.6461407368131376,0.24298955248194076,2.9212337722933635e-05,3.1670544526907207e-06,0.8491197759207876,0.2027240533079277,0.9992691507995267,0.002054935268996469
0.9999969786356674,0.03338911235816577,0.6461460719951688,0.24299072703687563,2.928762368034632e-05,3.4957930352685906e-06,0.8491182844162113,0.20272090800208256,0.9992198437682631,0.002123433113963201
0.999996608962144,0.03339023057032997,0.6461516448833393,0.24299198393772015,2.9368432690357604e-05,3.846621555947394e-06,0.8491167394173447,0.20271766221099466,0.999168942963835,0.0021919309522628093
0.9999962083910975,0.03339140302412913,0.6461574653820534,0.24299332616458047,2.945499321294065e-05,4.220276178523719e-06,0.8491151407080486,0.20271431618518818,0.9991164499273799,0.002260428797229541
0.9999957754884649,0.03339263085749922,0.6461635268883796,0.2429947567630597,2.9547532417351086e-05,4.617485529712084e-06,0.8491134881127109,0.2027108701501348,0.9990623664371334,0.0023289266355291495
0.9999953088056991,0.03339391444975304,0.6461698360052566,0.24299627874601315,2.9646283926570982e-05,5.038988285299695e-06,0.8491117814287017,0.20270732438141115,0.9990066936785856,0.002397424480495881
0.9999948068839054,0.03339525531813847,0.6461763894312043,0.24299789517541814,2.9751481363499144e-05,5.485520609527228e-06,0.8491100204668993,0.20270367917964624,0.9989494334299719,0.0024659223254626128
0.9999942682476343,0.03339665422128024,0.6461831904677169,0.2429996091132527,2.9863363513987773e-05,5.957821178181888e-06,0.8491082050652003,0.20269993482041662,0.998890587113881,0.0025344201637622207
0.9999936914090205,0.0333981119178024,0.646190239114766,0.24300142367061595,2.9982171745407404e-05,6.456628668161102e-06,0.8491063350615007,0.2026960915792989,0.9988301563899988,0.002602918008728952
0.9999930748677824,0.03339962992495327,0.6461975320709072,0.24300334190948636,3.0108150006535883e-05,6.982686780121483e-06,0.8491044102936962,0.20269214978197447,0.9987681426809142,0.0026714158536956844
0.9999924171153608,0.033401209001357346,0.646205075939065,0.24300536697371222,3.0241543536924098e-05,7.536736703395164e-06,0.8491024306131922,0.20268810970401993,0.9987045477648623,0.0027399136919952927
